reference_key,product_id,category_id,product_name,barcode,description,is_active,source_item_code
off:en:30-40-lightly-salted-blended-fat-with-vegetable-and-animal-origins,,13,30-40% lightly salted blended fat with vegetable and animal origins,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:30-40-lightly-salted-blended-fat-with-vegetable-and-animal-origins
off:en:30-40-lightly-salted-vegetable-fat-with-plant-sterols-esters,,13,30-40% lightly salted vegetable fat with plant sterols esters,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:30-40-lightly-salted-vegetable-fat-with-plant-sterols-esters
off:en:5-beer,,7,5% beer,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:5-beer
off:en:50-63-blended-fat-with-vegetable-and-animal-origins,,13,50-63% blended fat with vegetable and animal origins,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:50-63-blended-fat-with-vegetable-and-animal-origins
off:en:50-63-fat-lightly-salted-vegetable-fat,,13,50-63% fat lightly salted vegetable fat,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:50-63-fat-lightly-salted-vegetable-fat
off:en:50-63-lightly-salted-blended-fat-with-vegetable-and-animal-origins,,13,50-63% lightly salted blended fat with vegetable and animal origins,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:50-63-lightly-salted-blended-fat-with-vegetable-and-animal-origins
off:en:50-63-lightly-salted-vegetable-fat-high-in-omega-3,,13,50-63% lightly salted vegetable fat high in omega 3,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:50-63-lightly-salted-vegetable-fat-high-in-omega-3
off:en:50-63-unsalted-vegetable-fat,,13,50-63% unsalted vegetable fat,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:50-63-unsalted-vegetable-fat
off:en:50-63-unsalted-vegetable-fat-high-in-omega-3,,13,50-63% unsalted vegetable fat high in omega 3,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:50-63-unsalted-vegetable-fat-high-in-omega-3
off:en:50-63-unsalted-vegetable-fat-with-plant-sterols-esters,,13,50-63% unsalted vegetable fat with plant sterols esters,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:50-63-unsalted-vegetable-fat-with-plant-sterols-esters
